di_code,st_code,state23,dist23,A00_p10,A00_p50,A00_p90,A00_sum,A00_mean,A00_min,A00_max,A00_count
213,10,BIHAR,PURBI CHAMPARAN,-0.029773164167632215,0.00448394292660197,0.07972318339101274,76967.27433686267,0.015524977091297958,-0.14173010380622836,0.24415224913494812,4966698
214,10,BIHAR,PURNIA,-0.05173394848134538,-0.008858131487888374,0.06299115724721123,-3102.3520577688564,-7.751580137730845E-4,-0.14769703960015382,0.2519646289888504,4010639
215,10,BIHAR,ROHTAS,-0.038446751249514736,-0.008858131487889833,0.04158400615148124,-6548.347475638988,-0.001382702405782009,-0.15378700499807765,0.24415224913494812,4743839
216,10,BIHAR,SAHARSA,-0.032541330257585675,0.0026417591965269068,0.06698961937716431,22512.019173786786,0.010888262863968018,-0.11909265667051133,0.2288965782391388,2073256
217,10,BIHAR,SAMASTIPUR,-0.01574778931180279,0.022206843521719862,0.0984236831987725,106872.99128081067,0.03226602176590073,-0.12456747404844293,0.2288965782391388,3321029
218,10,BIHAR,SARAN,-0.015747789311802794,0.02460592079968654,0.1034063821607186,113126.7833869695,0.034531161708928636,-0.11909265667051133,0.2519646289888504,3282541
219,10,BIHAR,SHEIKHPURA,-0.03254133025759109,-0.006836517445422429,0.038446751249520815,855.0816802592708,0.0010223051583350493,-0.11374086889657825,0.2288965782391388,840498
220,10,BIHAR,SHEOHAR,-0.03254133025759344,-9.190505284131367E-4,0.07972318339100384,6064.922353182583,0.010953839702673896,-0.13016532103037293,0.2288965782391388,556991
221,10,BIHAR,SITAMARHI,-0.02977316416763274,9.029317204543727E-4,0.0629911572472112,27036.916776322847,0.009896542846755521,-0.13588619761630144,0.2288965782391388,2739355
222,10,BIHAR,SIWAN,-0.006809744527986513,0.03543252595156517,0.11374086889658787,122337.4196482972,0.04431758203926996,-0.1085121107266436,0.2519646289888504,2766570
223,10,BIHAR,SUPAUL,-0.03254133025759135,0.0044880290687572925,0.07535563244905057,39803.45397605573,0.013214635234754437,-0.13016532103037293,0.2288965782391388,3018897
224,10,BIHAR,VAISHALI,-0.012056901191848974,0.032541330257582754,0.11374086889657639,105843.62862859058,0.041925495543916204,-0.11374086889657825,0.24415224913494812,2529599
044,04,CHANDIGARH,CHANDIGARH,0.008858131487889193,0.07535563244905713,0.12456747404843997,10545.138609550844,0.07089470661754227,-0.09356401384083046,0.2599000384467512,150026
646,22,CHHATTISGARH,BALOD,-0.0591157247212615,-0.012056901191848818,0.06698961937717221,-18770.476454254545,-0.004665869209649038,-0.15378700499807765,0.2069357939254133,4030747
644,22,CHHATTISGARH,BALODA BAZAR,-0.07535563244905152,-0.027128027681664314,0.0797231833910178,-75123.95375217588,-0.013404132216662331,-0.14769703960015382,0.2519646289888504,5614038
649,22,CHHATTISGARH,BALRAMPUR,-0.055363321799303186,0.01777777777777946,0.09356401384086754,147242.19905160883,0.019278382159074466,-0.17279507881584008,0.2069357939254133,7650578
374,22,CHHATTISGARH,BASTAR,-0.06698961937717608,0.004489894316081852,0.09842368319874961,63375.588934667096,0.00993017258062813,-0.17279507881584008,0.2599000384467512,6393305
650,22,CHHATTISGARH,BEMETARA,-0.05173394848134615,-0.0068262127454154446,0.029773164167630903,-21700.937869899513,-0.008067244649097674,-0.14769703960015382,0.22145328719723184,2697016
636,22,CHHATTISGARH,BIJAPUR,-0.02220684352172216,0.055363321799320034,0.10340638216074222,524858.0606692357,0.048076740910464516,-0.1929104190695886,0.24415224913494812,10931393
375,22,CHHATTISGARH,BILASPUR,-0.07535563244906272,-0.027128027681664273,0.0797231833910135,-46387.23376714237,-0.01085505267109921,-0.15378700499807765,0.2519646289888504,4282196
734,22,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,-0.059115724721250804,9.08530596124577E-4,0.08882737408688891,20560.69283618803,0.008513856484424796,-0.16633602460592078,0.21413302575932336,2420209
376,22,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,-0.038446751249520045,0.01993079584775402,0.08882737408687641,78558.29012369893,0.02360762051969292,-0.15378700499807765,0.22145328719723184,3336766
377,22,CHHATTISGARH,DHAMTARI,-0.05536332179930035,0.01205690119184976,0.10851211072666618,106483.98575416105,0.021845063597533666,-0.15378700499807765,0.22145328719723184,4882863
378,22,CHHATTISGARH,DURG,-0.06299115724721696,-0.01574778931180278,0.05911572472126394,-22611.100351119145,-0.008216959408606003,-0.14769703960015382,0.2599000384467512,2758101
645,22,CHHATTISGARH,GARIYABAND,-0.05911572472125557,0.019930795847752574,0.10340638216074083,120423.77313666193,0.020855899477083103,-0.17937716262975778,0.19986159169550174,5784384
