st_code,di_code,districts,state,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,prep_year,precip_sum_mm,precip_mean_mm,mean_tmax
6,61,fatehabad,haryana,1.749506956,1.740512986,2024,86.16303253,21.54075813,30.96455383
3,30,fatehgarh sahib,punjab,2.717867271,2.673513449,2024,28.32686615,28.32686615,29.71260643
9,142,fatehpur,uttar pradesh,1.329114212,1.315144166,2024,322.1519165,46.02170236,31.5043335
3,651,fazilka,punjab,1.604443637,1.593051911,2024,81.99906158,13.66651026,30.92156982
9,143,firozabad,uttar pradesh,1.943293862,1.920872023,2024,167.8214111,41.95535278,30.70720757
3,31,firozpur,punjab,2.148597887,2.11419946,2024,47.57178116,23.78589058,30.29392184
29,537,gadag,karnataka,0.93812807,0.903008636,2024,392.3862915,49.04828644,30.86796788
27,475,gadchiroli,maharashtra,0.5467558,0.554849173,2024,1387.577148,66.07510231,32.19695522
21,353,gajapati,odisha,0.518779781,0.500843916,2024,380.5852661,63.43087769,30.21248817
1,626,ganderbal,jammu & kashmir,0.884460345,0.858856909,2024,126.4735489,42.15784963,8.532266998
24,446,gandhinagar,gujarat,4.834993831,4.599325985,2024,97.55970764,32.51990255,32.79311829
8,100,ganganagar,rajasthan,0.963186275,0.964930296,2024,133.7033386,8.913555908,32.31918538
21,354,ganjam,odisha,0.947980675,0.897014281,2024,674.8856201,61.35323819,30.33758014
20,328,garhwa,jharkhand,0.707098961,0.713099285,2024,470.6434021,67.23477173,30.12983805
22,645,gariyaband,chhattisgarh,0.573692162,0.559323428,2024,447.0944519,63.87063599,30.97481497
22,734,gaurela-pendra-marwahi,chhattisgarh,0.847941864,0.833002779,2024,115.7201233,57.86006165,29.83015272
9,144,gautambudhnagar,uttar pradesh,13.33585541,13.26987364,2024,40.33457947,40.33457947,30.32700263
10,196,gaya,bihar,1.674182759,1.632966705,2024,506.2136841,50.62136841,30.69623947
9,146,gazipur,uttar pradesh,1.920734639,1.861771108,2024,223.9277649,44.78555298,31.05975124
9,145,ghaziabad,uttar pradesh,11.69182963,11.70425614,2024,42.02222061,42.02222061,29.94946289
24,675,gir somnath,gujarat,1.598486626,1.586683896,2024,162.642334,40.6605835,30.42546692
20,329,giridih,jharkhand,1.009148294,1.018018257,2024,425.4296875,53.17871094,29.72723999
18,287,goalpara,assam,0.903469852,0.877265571,2024,574.9673462,143.7418365,29.20472145
20,330,godda,jharkhand,1.220660013,1.193402659,2024,112.5986938,56.29934692,29.96636963
18,288,golaghat,assam,1.416917725,1.46329486,2024,552.9382935,110.5876587,27.8239212
16,654,gomati,tripura,0.787255721,0.735033757,2024,278.7058105,92.90193685,29.874006
9,147,gonda,uttar pradesh,1.462495604,1.416853953,2024,419.6631775,59.9518825,30.49901254
27,476,gondia,maharashtra,0.83217831,0.794614094,2024,501.0977783,62.63722229,31.54525566
10,197,gopalganj,bihar,1.653480796,1.620106335,2024,242.753479,60.68836975,30.93440108
9,148,gorakhpur,uttar pradesh,3.373043477,3.357735675,2024,267.8847351,53.57694702,30.82291521
20,331,gumla,jharkhand,0.569644601,0.613509844,2024,423.2854614,70.5475769,28.75039482
23,406,guna,madhya pradesh,0.952079118,0.929091287,2024,504.7340698,56.08156331,30.56636963
28,506,guntur,andhra pradesh,1.236777618,1.16759581,2024,741.9847412,49.46564941,32.5397865
3,32,gurdaspur,punjab,1.835153618,1.811960865,2024,238.853775,47.770755,29.29187927
