system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
000000000000000002d4,x18296,312252.44705882395,"ASSAM, MARIGAON",1.48359965487E9,225512.751862,296,MARIGAON,18,"ASSAM, MARIGAON",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5,x18297,142907.54117647052,"ASSAM, NAGAON",2.48215956962E9,595983.805401,297,NAGAON,18,"ASSAM, NAGAON",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6,x18298,105135.86274509782,"ASSAM, NALBARI",1.02089707731E9,235768.401907,298,NALBARI,18,"ASSAM, NALBARI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7,x18300,31362.588235294115,"ASSAM, SIBSAGAR",1.51217958901E9,266939.348078,300,SIBSAGAR,18,"ASSAM, SIBSAGAR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8,x18301,280080.52156862733,"ASSAM, SONITPUR",3.31873600952E9,302021.098402,301,SONITPUR,18,"ASSAM, SONITPUR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9,x18707,177159.18039215682,"ASSAM, SOUTH SALMARA MANCACHAR",6.57868873699E8,234231.827116,707,SOUTH SALMARA MANCACHAR,18,"ASSAM, SOUTH SALMARA MANCACHAR",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da,x18302,45884.91372549021,"ASSAM, TINSUKIA",3.67717193098E9,419712.54077,302,TINSUKIA,18,"ASSAM, TINSUKIA",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db,x18617,8132.117647058821,"ASSAM, UDALGURI",1.97722753925E9,363765.338478,617,UDALGURI,18,"ASSAM, UDALGURI",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc,x18710,6344.84705882353,"ASSAM, WEST KARBI ANGLONG",2.95733983967E9,430785.104037,710,WEST KARBI ANGLONG,18,"ASSAM, WEST KARBI ANGLONG",ASSAM,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bb,x10188,22312.262745098044,"BIHAR, ARARIA",2.68677216996E9,397908.321198,188,ARARIA,10,"BIHAR, ARARIA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bc,x10611,9470.760784313732,"BIHAR, ARWAL",6.1347720387E8,189576.967619,611,ARWAL,10,"BIHAR, ARWAL",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bd,x10189,30681.129411764698,"BIHAR, AURANGABAD",3.17929817538E9,373783.576346,189,AURANGABAD,10,"BIHAR, AURANGABAD",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001bf,x10190,5627.850980392158,"BIHAR, BANKA",2.90964784579E9,343662.222087,190,BANKA,10,"BIHAR, BANKA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4,x10191,182612.25882352932,"BIHAR, BEGUSARAI",1.8501117125E9,364147.274207,191,BEGUSARAI,10,"BIHAR, BEGUSARAI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5,x10200,54979.1921568628,"BIHAR, KAIMUR",3.24066236819E9,384239.495375,200,KAIMUR,10,"BIHAR, KAIMUR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6,x10192,368305.9843137261,"BIHAR, BHAGALPUR",2.45921352255E9,385555.727837,192,BHAGALPUR,10,"BIHAR, BHAGALPUR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c9,x10193,63227.41960784312,"BIHAR, BHOJPUR",2.29913805222E9,288088.090219,193,BHOJPUR,10,"BIHAR, BHOJPUR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cd,x10194,35676.15686274512,"BIHAR, BUXAR",1.63623572435E9,287685.791899,194,BUXAR,10,"BIHAR, BUXAR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d2,x10195,373722.3294117645,"BIHAR, DARBHANGA",2.4236113475E9,475578.743869,195,DARBHANGA,10,"BIHAR, DARBHANGA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
