di_code,dist23,st_code,state23,pred_per_diff,FlowAcc_sum,GFD_sum,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,precip_sum_mm,precip_mean_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,anger,positive,anticipation,joy,surprise,trust,fear,negative,disgust,sadness,emotion_total,Tone_Avg,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_ActivityRef,Tone_SelfGroupRef,anger_share,fear_share,sadness_share,joy_share,disgust_share,surprise_share,anticipation_share,trust_share,anger_intensity,fear_intensity,sadness_intensity,joy_intensity,disgust_intensity,surprise_intensity,anticipation_intensity,trust_intensity,flood_news_count
36,LUDHIANA,3,PUNJAB,26.9723533116224,40386424.2352941,4679.611764705882,3.912126494,3.813830264,195.4725952,27.92465646,29.81497628,1.1598738065321936,-0.8161955988788456,110.0,327.0,126.0,62.0,42.0,190.0,195.0,297.0,100.0,141.0,966.0,-4.897121257636363,2.1135579536363633,7.010679211090909,9.12423716481818,22.693062828636364,0.5110873838181819,0.0929528798181818,0.1973913454545454,0.1462736125909091,0.0712782544090909,0.0902889841818181,0.0450297791818181,0.1377898988636363,0.218995245590909,0.0106395498181818,0.021491159,0.0156844917272727,0.0078645626818181,0.010095661,0.0049789937727272,0.0147595169545454,0.0236209954545454,22.0
38,MOGA,3,PUNJAB,5.45937026397775,9538635.121568635,9247.607843137248,1.911594545,1.894268217,103.159317,25.78982925,30.10331217,-0.0974625838475845,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,FIROZPUR,3,PUNJAB,0.933737935648679,45669773.60392152,13914.274509803909,2.148597887,2.11419946,47.57178116,23.78589058,30.29392184,-0.0563198515287584,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,FAZILKA,3,PUNJAB,0.933737935648679,20061335.152941182,4167.054901960785,1.604443637,1.593051911,81.99906158,13.66651026,30.92156982,,,13.0,37.0,11.0,11.0,7.0,25.0,20.0,29.0,5.0,15.0,107.0,-3.728362184,1.997336884,5.725699068,7.723035952,23.03595206,1.19840213,0.121495327,0.186915888,0.140186916,0.102803738,0.046728972,0.065420561,0.102803738,0.23364486,0.019402985,0.029850746,0.02238806,0.01641791,0.007462687,0.010447761,0.01641791,0.037313433,1.0
39,SRI MUKTSAR SAHIB,3,PUNJAB,-2.73756732947652,3560889.2823529444,412.27450980392155,1.54812086,1.526026548,56.15103912,18.71701304,30.94727478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FARIDKOT,3,PUNJAB,0.789763049896109,1794787.239215687,313.9725490196079,1.792516948,1.769213224,76.90367126,25.63455709,30.54084996,0.173403951881767,-0.8161955988788456,4.0,13.0,7.0,4.0,2.0,8.0,9.0,12.0,4.0,6.0,44.0,-0.877800878,1.7556017555,2.6334026335000003,4.3890043895,22.94987295,0.2926002924999999,0.0909090905,0.2045454545,0.1363636365,0.0909090905,0.0909090905,0.045454545,0.159090909,0.1818181815,0.0069559824999999,0.015456439,0.0103783965,0.006733672,0.0069559824999999,0.0034224134999999,0.0118117145,0.013578499,2.0
28,BATHINDA,3,PUNJAB,10.4828036388809,5453948.647058837,145.54509803921567,2.582935778,2.603210083,149.6335297,21.37621852,30.90082296,0.1516614322002058,-0.8161955988788456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MANSA,3,PUNJAB,22.6752760931519,5079779.039215687,229.9411764705882,1.430003707,1.419940442,39.92580414,19.96290207,30.73606567,-0.490788519985682,-0.8161955988788456,1.0,15.0,5.0,1.0,2.0,9.0,4.0,17.0,7.0,10.0,39.0,-5.851979346,0.516351119,6.368330465,6.884681583,16.5232358,0.0,0.025641026,0.102564103,0.256410256,0.025641026,0.179487179,0.051282051,0.128205128,0.230769231,0.001438849,0.005755396,0.014388489,0.001438849,0.010071942,0.002877698,0.007194245,0.01294964,1.0
41,PATIALA,3,PUNJAB,12.6204087819492,5144765.3882352915,14274.192156862737,2.742145386,2.707967577,143.5410767,28.70821533,29.79538836,0.7226246984668276,-0.8161955988788456,42.0,120.0,42.0,28.0,24.0,67.0,73.0,139.0,48.0,67.0,391.0,-5.4191195102,2.0450236997,7.4641432108,9.5091669103,20.438945278,0.4131656041,0.0937406108,0.1899880498,0.1625587638,0.0672058289,0.1230154782,0.0623506509,0.1090857304,0.1920548869,0.0137605974,0.0233647429,0.0211407183,0.0092093693,0.0154176873,0.0102873849,0.0148015429,0.0228536941,10.0
27,AMRITSAR,3,PUNJAB,25.406653308024,5949016.203921566,1775.8823529411764,3.530938817,3.449568679,61.17891312,30.58945656,29.81329854,0.8094795585173776,-0.8161955988788456,32.0,112.0,45.0,32.0,13.0,58.0,28.0,50.0,9.0,28.0,245.0,-2.8590291747142857,1.9364955334285712,4.795524707857142,6.732020241,19.3405327,0.3906825888571428,0.1163514785714285,0.1471326335714285,0.1107000515714285,0.103718493,0.0493953528571428,0.0333823617142857,0.203156547,0.2361630817142857,0.0136493297142857,0.0164886534285714,0.0124242322857142,0.0136618605714285,0.0052416391428571,0.0052381367142857,0.0205367171428571,0.0250565335714285,7.0
