"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"PUDUCHERRY","34","KARAIKAL","598","PUDUCHERRY, KARAIKAL","PUDUCHERRY, KARAIKAL","x34598"
"RAJASTHAN","08","KARAULI","108","RAJASTHAN, KARAULI","RAJASTHAN, KARAULI","x08108"
"KERALA","32","KASARAGOD","558","KERALA, KASARAGOD","KERALA, KASARAGOD","x32558"
"UTTAR PRADESH","09","KASGANJ","633","UTTAR PRADESH, KASGANJ","UTTAR PRADESH, KASGANJ","x09633"
"MADHYA PRADESH","23","KATNI","413","MADHYA PRADESH, KATNI","MADHYA PRADESH, KATNI","x23413"
"UTTAR PRADESH","09","KAUSHAMBI","158","UTTAR PRADESH, KAUSHAMBI","UTTAR PRADESH, KAUSHAMBI","x09158"
"ODISHA","21","KENDRAPARHA","360","ODISHA, KENDRAPARHA","ODISHA, KENDRAPARHA","x21360"
"ODISHA","21","KEONJHAR (KENDUJHAR)","361","ODISHA, KEONJHAR (KENDUJHAR)","ODISHA, KEONJHAR (KENDUJHAR)","x21361"
"UTTAR PRADESH","09","KHERI","159","UTTAR PRADESH, KHERI","UTTAR PRADESH, KHERI","x09159"
"ODISHA","21","KHORDHA","362","ODISHA, KHORDHA","ODISHA, KHORDHA","x21362"
"TRIPURA","16","KHOWAI","652","TRIPURA, KHOWAI","TRIPURA, KHOWAI","x16652"
"JHARKHAND","20","KHUNTI","606","JHARKHAND, KHUNTI","JHARKHAND, KHUNTI","x20606"
"RAJASTHAN","08","GANGANAGAR","100","RAJASTHAN, GANGANAGAR","RAJASTHAN, GANGANAGAR","x08100"
"MEGHALAYA","17","EAST JAINTIA HILLS","657","MEGHALAYA, EAST JAINTIA HILLS","MEGHALAYA, EAST JAINTIA HILLS","x17657"
"KARNATAKA","29","KODAGU","541","KARNATAKA, KODAGU","KARNATAKA, KODAGU","x29541"
"JHARKHAND","20","KODARMA","334","JHARKHAND, KODARMA","JHARKHAND, KODARMA","x20334"
"KARNATAKA","29","KOLAR","542","KARNATAKA, KOLAR","KARNATAKA, KOLAR","x29542"
"KERALA","32","KOLLAM","559","KERALA, KOLLAM","KERALA, KOLLAM","x32559"
"CHHATTISGARH","22","KONDAGAON","643","CHHATTISGARH, KONDAGAON","CHHATTISGARH, KONDAGAON","x22643"
"KARNATAKA","29","KOPPAL","543","KARNATAKA, KOPPAL","KARNATAKA, KOPPAL","x29543"
"ODISHA","21","KORAPUT","363","ODISHA, KORAPUT","ODISHA, KORAPUT","x21363"
"CHHATTISGARH","22","KORBA","383","CHHATTISGARH, KORBA","CHHATTISGARH, KORBA","x22383"
"CHHATTISGARH","22","KOREA","384","CHHATTISGARH, KOREA","CHHATTISGARH, KOREA","x22384"
"RAJASTHAN","08","KOTA","109","RAJASTHAN, KOTA","RAJASTHAN, KOTA","x08109"
"KERALA","32","KOTTAYAM","560","KERALA, KOTTAYAM","KERALA, KOTTAYAM","x32560"
"KERALA","32","KOZHIKODE","561","KERALA, KOZHIKODE","KERALA, KOZHIKODE","x32561"
"ANDHRA PRADESH","28","KRISHNA","510","ANDHRA PRADESH, KRISHNA","ANDHRA PRADESH, KRISHNA","x28510"
"HIMACHAL PRADESH","02","KULLU","020","HIMACHAL PRADESH, KULLU","HIMACHAL PRADESH, KULLU","x02020"
"ANDHRA PRADESH","28","KURNOOL","511","ANDHRA PRADESH, KURNOOL","ANDHRA PRADESH, KURNOOL","x28511"
"UTTAR PRADESH","09","KUSHINAGAR","160","UTTAR PRADESH, KUSHINAGAR","UTTAR PRADESH, KUSHINAGAR","x09160"
"LAKSHADWEEP","31","LAKSHADWEEP","553","LAKSHADWEEP, LAKSHADWEEP","LAKSHADWEEP, LAKSHADWEEP","x31553"
"UTTAR PRADESH","09","LALITPUR","161","UTTAR PRADESH, LALITPUR","UTTAR PRADESH, LALITPUR","x09161"
"JHARKHAND","20","LATEHAR","335","JHARKHAND, LATEHAR","JHARKHAND, LATEHAR","x20335"
"JHARKHAND","20","LOHARDAGA","336","JHARKHAND, LOHARDAGA","JHARKHAND, LOHARDAGA","x20336"
"UTTAR PRADESH","09","LUCKNOW","162","UTTAR PRADESH, LUCKNOW","UTTAR PRADESH, LUCKNOW","x09162"
"CHHATTISGARH","22","MAHASAMUND","385","CHHATTISGARH, MAHASAMUND","CHHATTISGARH, MAHASAMUND","x22385"
"PUDUCHERRY","34","MAHE","599","PUDUCHERRY, MAHE","PUDUCHERRY, MAHE","x34599"
"GUJARAT","24","MAHISAGAR","669","GUJARAT, MAHISAGAR","GUJARAT, MAHISAGAR","x24669"
"UTTAR PRADESH","09","MAHOBA","165","UTTAR PRADESH, MAHOBA","UTTAR PRADESH, MAHOBA","x09165"
"UTTAR PRADESH","09","MAINPURI","166","UTTAR PRADESH, MAINPURI","UTTAR PRADESH, MAINPURI","x09166"
"KERALA","32","MALAPPURAM","562","KERALA, MALAPPURAM","KERALA, MALAPPURAM","x32562"
"ODISHA","21","MALKANGIRI","364","ODISHA, MALKANGIRI","ODISHA, MALKANGIRI","x21364"
"KARNATAKA","29","MANDYA","544","KARNATAKA, MANDYA","KARNATAKA, MANDYA","x29544"
"HIMACHAL PRADESH","02","MANDI","022","HIMACHAL PRADESH, MANDI","HIMACHAL PRADESH, MANDI","x02022"
"MADHYA PRADESH","23","MANDLA","415","MADHYA PRADESH, MANDLA","MADHYA PRADESH, MANDLA","x23415"
"MADHYA PRADESH","23","MANDSAUR","416","MADHYA PRADESH, MANDSAUR","MADHYA PRADESH, MANDSAUR","x23416"
"UTTAR PRADESH","09","MATHURA","167","UTTAR PRADESH, MATHURA","UTTAR PRADESH, MATHURA","x09167"
"UTTAR PRADESH","09","MAU","168","UTTAR PRADESH, MAU","UTTAR PRADESH, MAU","x09168"
"ODISHA","21","MAYURBHANJ","365","ODISHA, MAYURBHANJ","ODISHA, MAYURBHANJ","x21365"
"UTTAR PRADESH","09","MEERUT","169","UTTAR PRADESH, MEERUT","UTTAR PRADESH, MEERUT","x09169"
"UTTAR PRADESH","09","MIRZAPUR","170","UTTAR PRADESH, MIRZAPUR","UTTAR PRADESH, MIRZAPUR","x09170"
"UTTAR PRADESH","09","MORADABAD","171","UTTAR PRADESH, MORADABAD","UTTAR PRADESH, MORADABAD","x09171"
"MADHYA PRADESH","23","MORENA","417","MADHYA PRADESH, MORENA","MADHYA PRADESH, MORENA","x23417"
"CHHATTISGARH","22","MUNGELI","647","CHHATTISGARH, MUNGELI","CHHATTISGARH, MUNGELI","x22647"
"UTTAR PRADESH","09","MUZAFFARNAGAR","172","UTTAR PRADESH, MUZAFFARNAGAR","UTTAR PRADESH, MUZAFFARNAGAR","x09172"
"KARNATAKA","29","MYSURU","545","KARNATAKA, MYSURU","KARNATAKA, MYSURU","x29545"
"ODISHA","21","NABARANGAPUR","366","ODISHA, NABARANGAPUR","ODISHA, NABARANGAPUR","x21366"
"RAJASTHAN","08","NAGAUR","110","RAJASTHAN, NAGAUR","RAJASTHAN, NAGAUR","x08110"
"UTTARAKHAND","05","NAINITAL","051","UTTARAKHAND, NAINITAL","UTTARAKHAND, NAINITAL","x05051"
"CHHATTISGARH","22","NARAINPUR","637","CHHATTISGARH, NARAINPUR","CHHATTISGARH, NARAINPUR","x22637"
"GUJARAT","24","NARMADA","452","GUJARAT, NARMADA","GUJARAT, NARMADA","x24452"
"MADHYA PRADESH","23","NARSHIMAPURA","418","MADHYA PRADESH, NARSHIMAPURA","MADHYA PRADESH, NARSHIMAPURA","x23418"
"ODISHA","21","NAYAGARH","367","ODISHA, NAYAGARH","ODISHA, NAYAGARH","x21367"
"ANDHRA PRADESH","28","POTTI SRIRAMULU NELLORE","515","ANDHRA PRADESH, POTTI SRIRAMULU NELLORE","ANDHRA PRADESH, POTTI SRIRAMULU NELLORE","x28515"
"DELHI","07","NEW DELHI","079","DELHI, NEW DELHI","DELHI, NEW DELHI","x07079"
"ANDAMAN & NICOBAR","35","NICOBAR","603","ANDAMAN & NICOBAR, NICOBAR","ANDAMAN & NICOBAR, NICOBAR","x35603"
"MADHYA PRADESH","23","NIMACH","419","MADHYA PRADESH, NIMACH","MADHYA PRADESH, NIMACH","x23419"
"DELHI","07","NORTH","080","DELHI, NORTH","DELHI, NORTH","x07080"
"SIKKIM","11","NORTH","226","SIKKIM, NORTH","SIKKIM, NORTH","x11226"
