"GeoName","GeoID","state","zone","n","cellpred_n","pred_prop","pred_per","national_per","pred_per_diff"
"Uttar Pradesh, Maharajganj","09187","Uttar Pradesh","Central",1480811,1203308.0516586,0.812600697630283,81.2600697630283,57.0357133022312,24.2243564607971
"Uttar Pradesh, Gorakhpur","09188","Uttar Pradesh","Central",2579048,1847634.73096113,0.716401839345807,71.6401839345807,57.0357133022312,14.6044706323495
"Uttar Pradesh, Kushinagar","09189","Uttar Pradesh","Central",1949385,1614359.37576272,0.828137784872006,82.8137784872006,57.0357133022312,25.7780651849694
"Uttar Pradesh, Deoria","09190","Uttar Pradesh","Central",1754201,1150440.89145785,0.655820451281155,65.5820451281155,57.0357133022312,8.54633182588434
"Uttar Pradesh, Azamgarh","09191","Uttar Pradesh","Central",2557772,1529556.31175849,0.598003384100886,59.8003384100886,57.0357133022312,2.76462510785746
"Uttar Pradesh, Mau","09192","Uttar Pradesh","Central",1220820,821203.397106849,0.672665419232032,67.2665419232032,57.0357133022312,10.230828620972
"Uttar Pradesh, Ballia","09193","Uttar Pradesh","Central",1852100,1472925.62448071,0.795273270601321,79.5273270601321,57.0357133022312,22.4916137579009
"Uttar Pradesh, Jaunpur","09194","Uttar Pradesh","Central",2491901,1405927.22054431,0.564198666216799,56.4198666216799,57.0357133022312,-0.615846680551279
"Uttar Pradesh, Gazipur","09195","Uttar Pradesh","Central",2014980,1154156.48953385,0.572788062181186,57.2788062181186,57.0357133022312,0.243092915887424
"Uttar Pradesh, Chandauli","09196","Uttar Pradesh","Central",1113648,695581.783317393,0.624597523919042,62.4597523919042,57.0357133022312,5.42403908967302
"Uttar Pradesh, Varanasi","09197","Uttar Pradesh","Central",2186800,1249496.05147832,0.571381036893325,57.1381036893325,57.0357133022312,0.102390387101323
"Uttar Pradesh, Bhadohi","09198","Uttar Pradesh","Central",866685,605881.985660673,0.699079810612476,69.9079810612476,57.0357133022312,12.8722677590164
"Uttar Pradesh, Mirzapur","09199","Uttar Pradesh","Central",1404310,813699.176362121,0.579429881124624,57.9429881124624,57.0357133022312,0.907274810231243
"Uttar Pradesh, Sonbhadra","09200","Uttar Pradesh","Central",1027002,675564.966540465,0.65780297072495,65.780297072495,57.0357133022312,8.74458377026384
"Uttar Pradesh, Etah","09201","Uttar Pradesh","Central",980179,552357.126286157,0.563526790806738,56.3526790806738,57.0357133022312,-0.683034221557435
"Uttar Pradesh, Kasganj","09202","Uttar Pradesh","Central",769491,557313.821015765,0.724262949164792,72.4262949164792,57.0357133022312,15.390581614248
"Bihar, Pashchimi Champaran","10203","Bihar","Eastern",2071029,1775167.74205674,0.857142870552147,85.7142870552147,57.0357133022312,28.6785737529835
"Bihar, Purbi Champaran","10204","Bihar","Eastern",2666464,2221217.77340162,0.833019974543671,83.3019974543671,57.0357133022312,26.2662841521359
"Bihar, Sheohar","10205","Bihar","Eastern",348247,216154.289412116,0.620692466588703,62.0692466588703,57.0357133022312,5.03353335663909
"Bihar, Sitamarhi","10206","Bihar","Eastern",1799482,1287697.88332978,0.71559364490991,71.559364490991,57.0357133022312,14.5236511887598
"Bihar, Madhubani","10207","Bihar","Eastern",2440798,1551556.42090255,0.63567588178233,63.567588178233,57.0357133022312,6.53187487600179
"Bihar, Supaul","10208","Bihar","Eastern",1173435,1023967.08015952,0.872623605192894,87.2623605192894,57.0357133022312,30.2266472170582
"Bihar, Araria","10209","Bihar","Eastern",1443795,1268489.19069472,0.878579847343092,87.8579847343092,57.0357133022312,30.822271432078
"Bihar, Kishanganj","10210","Bihar","Eastern",855713,653715.340974724,0.76394228085202,76.394228085202,57.0357133022312,19.3585147829708
"Bihar, Purnia","10211","Bihar","Eastern",1664875,1414208.67507802,0.849438351274431,84.9438351274432,57.0357133022312,27.908121825212
"Bihar, Katihar","10212","Bihar","Eastern",1590028,1421904.51303838,0.894263819906558,89.4263819906558,57.0357133022312,32.3906686884246
"Bihar, Madhepura","10213","Bihar","Eastern",1048643,926410.427018836,0.883437382425512,88.3437382425512,57.0357133022312,31.30802494032
"Bihar, Saharsa","10214","Bihar","Eastern",1000613,890512.331221285,0.889966781584174,88.9966781584174,57.0357133022312,31.9609648561862
"Bihar, Darbhanga","10215","Bihar","Eastern",2123564,1828743.53409266,0.861167138872509,86.1167138872509,57.0357133022312,29.0810005850197
"Bihar, Muzaffarpur","10216","Bihar","Eastern",2675827,2124770.44059636,0.794061215690087,79.4061215690087,57.0357133022312,22.3704082667775
"Bihar, Gopalganj","10217","Bihar","Eastern",1369125,1124372.35116656,0.821234256307173,82.1234256307173,57.0357133022312,25.0877123284861
"Bihar, Siwan","10218","Bihar","Eastern",1821730,1391731.44145691,0.763961422086097,76.3961422086097,57.0357133022312,19.3604289063785
"Bihar, Saran","10219","Bihar","Eastern",2147776,1788114.82649098,0.832542512110658,83.2542512110657,57.0357133022312,26.2185379088346
"Bihar, Vaishali","10220","Bihar","Eastern",1906873,1429279.34545714,0.749540921423261,74.9540921423261,57.0357133022312,17.9183788400949
"Bihar, Samastipur","10221","Bihar","Eastern",2283312,1890893.82468855,0.828136419678321,82.8136419678321,57.0357133022312,25.7779286656009
"Bihar, Begusarai","10222","Bihar","Eastern",1595490,1366125.27150408,0.856241826338039,85.6241826338039,57.0357133022312,28.5884693315727
"Bihar, Khagaria","10223","Bihar","Eastern",861275,754054.984602596,0.875510126965947,87.5510126965947,57.0357133022312,30.5152993943635
"Bihar, Bhagalpur","10224","Bihar","Eastern",1662012,1461642.44430478,0.879441571002365,87.9441571002365,57.0357133022312,30.9084437980053
"Bihar, Banka","10225","Bihar","Eastern",1123882,915458.754400376,0.814550597305034,81.4550597305034,57.0357133022312,24.4193464282722
"Bihar, Munger","10226","Bihar","Eastern",777663,685581.273569821,0.881591735198693,88.1591735198693,57.0357133022312,31.1234602176381
"Bihar, Lakhisarai","10227","Bihar","Eastern",538002,469581.119441702,0.872824114857755,87.2824114857755,57.0357133022312,30.2466981835443
"Bihar, Sheikhpura","10228","Bihar","Eastern",338723,282422.972945187,0.833787410200036,83.3787410200036,57.0357133022312,26.3430277177724
"Bihar, Nalanda","10229","Bihar","Eastern",1587084,1325314.80317197,0.835062796406472,83.5062796406472,57.0357133022312,26.470566338416
"Bihar, Patna","10230","Bihar","Eastern",3383358,2207845.00248275,0.652560267782111,65.2560267782111,57.0357133022312,8.22031347597993
"Bihar, Bhojpur","10231","Bihar","Eastern",1526185,1234827.08521101,0.809093973018348,80.9093973018348,57.0357133022312,23.8736839996036
"Bihar, Buxar","10232","Bihar","Eastern",944278,795807.772399466,0.842768519863288,84.2768519863288,57.0357133022312,27.2411386840976
"Bihar, Kaimur","10233","Bihar","Eastern",869164,575414.753925115,0.662032428776519,66.2032428776519,57.0357133022312,9.16752957542074
"Bihar, Rohtas","10234","Bihar","Eastern",1644470,1142613.76365165,0.694821896204642,69.4821896204642,57.0357133022312,12.446476318233
"Bihar, Aurangabad","10235","Bihar","Eastern",1381027,809820.636815341,0.586390155163759,58.6390155163759,57.0357133022312,1.60330221414473
"Bihar, Gaya","10236","Bihar","Eastern",2318655,1273260.80356487,0.549137669711478,54.9137669711478,57.0357133022312,-2.12194633108337
