DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2024-0548-PRK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PRK,Democratic People's Republic of Korea,Eastern Asia,Asia,"Sinuiju City and Uiju County (North Pyongan Province); Changang, North Pyongan, and Ryangang provinces",Heavy rain,,No,No,Yes,,,Km2,,,Yalu River,2024,7,27,2024,7,28,,,4200,,4200,,,,,,,100,,2024-07-31,2024-08-05
2024-0552-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Zixing (Hunan province),"Heavy rains, Typhoon Gaemi",,No,No,No,,,Km2,,,,2024,7,27,2024,7,30,65,,2700,,2700,,,,,,,100,,2024-07-31,2024-08-02
2024-0559-BOL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2024-000134,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"La Paz department; San Matías, Concepción, San Rafael, San Ignacio de Velasco, El Puente, and San Javier municipalities (Santa Cruz department); Beni department",,,No,No,Yes,,,Km2,,,,2024,7,,2024,9,,2,,25335,,25335,,,,,100000,100000,100,,2024-08-01,2025-03-03
2024-0561-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Mandi, Kullu, Shimla districts (Himachal Pradesh)",Heavy rains,,No,No,No,,,Km2,,,,2024,7,31,2024,8,23,46,,,,,,,,,,,100,,2024-08-01,2025-03-18
2024-0568-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Ridi Village (Kangding county, Garzê Tibetan Autonomous Prefecture, Sichuan province)",Heavy rains,"Collapse|Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,8,3,2024,8,4,27,,939,,939,,,,,,,100,,2024-08-05,2024-08-07
2024-0569-TCD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2024-000139,,TCD,Chad,Sub-Saharan Africa,Africa,"Batha, Chari-Baguirmi, Logone Oriental, Mayo-Kebbi Ouest, Sila, Logone Occidental, N'Djamena city, Lake, Kanem; Tibesti, Lac, Mayo-Kebbi Est, Mandoul, Tandjilé, Batah, Guera, Salamat, Ennedi West, Borkou, Ennedi East",Heavy rains,,No,No,No,,,Km2,,,,2024,8,1,2024,9,30,576,,1941869,,1941869,,,,,380000,380000,100,,2024-08-05,2025-02-21
2024-0573-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Debby',CAN,Canada,Northern America,Americas,Quebec,,Flood,No,No,No,,,Kph,,,,2024,8,8,2024,8,10,1,,,,,,,,,3000000,3000000,100,,2024-08-19,2025-03-05
2024-0573-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Debby',USA,United States of America,Northern America,Americas,"Tampa, Manatee, and St. Petersburg (Florida); Georgia; South Carolina, North Carolina, Virginia, New Yprk, Pennsylvania",,Flood,No,No,Yes,,120,Kph,,,,2024,8,5,2024,8,6,17,,,,,,,,,2500000,2500000,100,,2024-08-06,2025-03-05
2024-0574-ETH,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ETH,Ethiopia,Sub-Saharan Africa,Africa,Kawo Koisha district (Wolaita); Kindo Didaye district,Heavy rains,,No,No,No,,,,,,,2024,8,5,2024,8,5,13,,,,,,,,,,,100,,2024-08-06,2024-10-28
2024-0580-YEM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,YEM,Yemen,Western Asia,Asia,"Maqbanah district (Taez governorate), Sadaa provinces; Al Hudaydah, Al Hajjah, Ma'rib governorates",Heavy rains,,No,No,No,,,Km2,,,,2024,7,28,2024,8,8,62,16,171300,,171316,,,,,,,100,,2024-08-08,2024-08-19
2024-0582-CAN,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,CAN,Canada,Northern America,Americas,Calgary (Alberta),,Flood,No,No,No,,100,Kph,,,,2024,8,5,2024,8,6,,,,,,,,,,2700000,2700000,100,,2024-08-09,2025-02-24
2024-0588-UGA,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,UGA,Uganda,Sub-Saharan Africa,Africa,Kampala,Heavy rains,,No,No,No,,,,,,,2024,8,9,2024,8,10,34,14,1000,,1014,,,,,,,100,,2024-08-12,2025-01-22
2024-0589-GRC,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,GRC,Greece,Southern Europe,Europe,Attica region (Athens area),"Drought, wind and high temperatures",,No,No,No,,,Km2,,,,2024,8,10,2024,8,14,1,,600,300,900,,,,,60000,60000,100,,2024-08-12,2025-03-18
2024-0596-NPL,No,nat-cli-glo-glo,Natural,Climatological,Glacial lake outburst flood,Glacial lake outburst flood,,,NPL,Nepal,Southern Asia,Asia,Solukhumbu district (Koshi province),,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,,,,,2024,8,16,2024,8,16,,,135,,135,,,,,,,100,,2024-08-19,2024-08-23
2024-0617-GIN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2024-000148,,GIN,Guinea,Sub-Saharan Africa,Africa,"BTN, Bolibana, Sigurikoura, Nankoda, Kokomo, Heremakonon, Chinese City, Tiguibiry, Konoba, Abatoire, Setceur TP, Téléladji, ORS1, and Mandé districts; Kintinian, Kinièbakoura, Niandankoro sub-prefectures (Siguiri)",Heavy rains,,No,No,No,,,Km2,,,,2024,8,21,2024,8,21,5,1000,175000,,176000,,,,,,,100,,2024-08-21,2024-11-12
2024-0623-TUR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,TUR,Türkiye,Western Asia,Asia,"Izmir, Manisa, Bolu, and Aydin",Strong winds and warm temperatures,,No,No,No,,,Km2,,,,2024,8,13,2024,8,18,,,,,,,,,,,,100,,2024-08-21,2024-10-28
2024-0624-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Lakshmipur, Cumilla, Feni, and Noakhali districts",Heavy monsoon rains,,No,No,No,,,Km2,,,,2024,8,19,2024,9,3,71,,5820000,,5820000,,,,,155600,155600,100,,2024-08-22,2025-04-01
2024-0624-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,Tripura state,Heavy rains,,No,No,No,,,Km2,,,,2024,8,19,2024,8,23,26,,1700000,,1700000,,,,,,,100,,2024-08-23,2024-10-22
