state_district_census11_code,state,district,perceived,imd_flood_count,assessed,gap,FlowAcc_sum,mean_monthly_avg_rd_MD,precip_sum_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,Tone_Avg,flood_news_count,fear_share,ntl_mean,population
9169,Uttar Pradesh,Mahoba,77.0448951787703,27.0,42.857142857142854,-34.18775232162745,2337191.121568626,1.040727116,223.0160065,31.70372831,-0.843482462825735,0.0575461026774731,,,,1.0344483865786342,507141.0
9170,Uttar Pradesh,Banda,67.4635119304961,34.0,53.96825396825397,-13.495257962242128,241161195.39215684,0.957273913,278.7073975,31.62605794,-0.5299340793483779,0.0607282173659094,,,,0.9468572599346092,1012375.0
9171,Uttar Pradesh,Chitrakoot,57.0415155858683,32.0,50.79365079365079,-6.247864792217506,112180479.40784311,0.969264847,228.1401062,31.38484331,-0.538558735930051,-0.2223242861022853,,,,0.9385034824932876,534728.0
9172,Uttar Pradesh,Fatehpur,70.779256478934,39.0,61.904761904761905,-8.874494574172097,340386280.6705883,1.329114212,322.1519165,31.5043335,-0.3472559381041776,0.5997340335539392,,,,1.3151441656899368,1512874.0
9173,Uttar Pradesh,Pratapgarh,74.7911033831842,32.0,50.79365079365079,-23.997452589533403,30597193.678431373,1.695708254,281.9967346,31.2667277,0.091934466031135,-0.8161955988788456,-3.550295858,1.0,0.285714286,1.642559434845485,1824585.0
9174,Uttar Pradesh,Kaushambi,67.6875141042882,36.0,57.142857142857146,-10.544656961431052,189011483.7764706,1.919188955,87.5309906,31.50610352,-0.5700327869406481,0.1411659139592302,-5.253283302,1.0,0.121212121,1.8948039041726623,845388.0
9175,Uttar Pradesh,Allahabad,67.4246420512446,31.0,49.20634920634921,-18.218292844895394,488668221.0627448,2.813838483,346.2694397,31.28701104,,,,,,2.786492215160304,3414205.0
9176,Uttar Pradesh,Bara Banki,69.1467064806107,37.0,58.73015873015873,-10.416547750451976,53678776.72941172,1.828228928,238.2701416,30.64633179,,,,,,1.747975297093037,1789074.0
9177,Uttar Pradesh,Faizabad,70.7501197442005,38.0,60.317460317460316,-10.432659426740187,55542885.11764699,2.20296809,274.3782959,30.67829725,,,-2.2600954837142857,7.0,0.0933641237142857,2.19392939016191,1409104.0
9178,Uttar Pradesh,Ambedkar Nagar,68.3412732983152,39.0,61.904761904761905,-6.436511393553296,37859125.06666672,1.562011076,180.5809937,30.79881592,,,,,,1.5571769208598192,1366519.0
9179,Uttar Pradesh,Sultanpur,73.8243685871323,27.0,42.857142857142854,-30.967225729989444,12735256.770588227,1.760193486,191.73332975,30.862595875,-0.2274006104959539,-0.8161955988788456,,,,1.7385493029730994,4313750.0
9180,Uttar Pradesh,Bahraich,75.355260146818,29.0,46.03174603174603,-29.323514115071966,73804065.56470588,1.176865636,400.8643188,29.9534623,-1.2415909288251847,0.0853954485171168,-4.89840257475,4.0,0.21349688025,1.1509738578380253,1862943.0
